AGENCY,PROGRAM_MODEL,CITY,STATE,WARD
Henry Booth House,Head Start,Chicago,IL,29
"Alliance Rehab, Inc.",Comprehensive Fitness,Chicago,IL,
Henry Booth House,Head Start,Chicago,IL,6
Family Rescue Inc,Legal Advocacy and Case Management,Chicago,IL,25
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,6
Board of Education City of Chicago,Head Start,Chicago,IL,20
The Salvation Army,Interim Housing,Chicago,IL,46
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,17
Heartland Human Care Services Inc,Transitional Jobs Program,Chicago,IL,6
El Valor Corporation,Early Head Start – RTL,Chicago,IL,10
Board of Education City of Chicago,Head Start,Chicago,IL,25
Lawyers' Committee For Better Housing,Homelessness Prevention,Chicago,IL,42
Board of Education City of Chicago,Head Start,Chicago,IL,27
Kendall College,Head Start Support Services,Chicago,IL,27
El Hogar del Nino,Child Care Only,Chicago,IL,14
Dominican University,Early Childhood/Family Initiative,River Forest,IL,
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,26
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,16
Y M C A of Metropolitan Chicago,Head Start,Chicago,IL,50
Chicago Commons Association,Early Head Start – Child Care Partnership,Chicago,IL,8
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,23
Metropolitan Family Services,Head Start – RTL,Chicago,IL,20
Local Initiative Support Corporation (LISC),Digital Literacy Program,Chicago,IL,47
Henry Booth House,Head Start,Chicago,IL,28
Centers for New Horizons,Head Start,Chicago,IL,4
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
A.M. Bus Company,Head Start Support Services,Chicago,IL,21
Olive Branch Mission,Interim Housing,Chicago,IL,16
"SGA Youth & Family Services, NFP",Early Head Start – Child Care Partnership,Chicago,IL,22
Sarah's Inn,Counseling and Case Management Services,Chicago,IL,25
Board of Education City of Chicago,Head Start,Chicago,IL,48
Korean American Community Services,Head Start,Chicago,IL,33
El Hogar del Nino,Early Head Start,Chicago,IL,14
Gads Hill Center,Early Head Start – Child Care Partnership,Chicago,IL,16
Metropolitan Asian Family Services,Congregate Dining,Chicago,IL,49
Board of Trustees of the University of Illinois,Head Start Support Services – RTL,Chicago,IL,27
North Avenue Day Nursery,Child Care Only,Chicago,IL,35
The Salvation Army,Early Head Start,Chicago,IL,6
McDermott Center dba Haymarket Center,Clinical Services,Chicago,IL,27
Chicago Federation of Labor WAC,Employment Preparation and Placement Program,Chicago,IL,42
Board of Education City of Chicago,Head Start,Chicago,IL,11
Board of Trustees of the University of Illinois,Plan to End Homelessness,Chicago,IL,25
Housing Opportunities for Women,Permanent Supportive Housing,Chicago,IL,49
Catholic Charities of the Archdiocese of Chicago,Child Care Only,Chicago,IL,24
Chicago Youth Centers,Head Start,Chicago,IL,11
The Salvation Army,Caregiver Services,Chicago,IL,46
"Easter Seals Metropolitan Chicago, Inc.",Child Care Only,Chicago,IL,3
Human Resources Development Institute,Shelter Plus Care,Chicago,IL,42
"Ada S. McKinley Community Services, Inc.",Early Head Start,Chicago,IL,34
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,17
Board of Education City of Chicago,Head Start,Chicago,IL,37
Chicago Commons Association,Early Head Start – Child Care Partnership,Chicago,IL,26
El Valor Corporation,Head Start,Chicago,IL,12
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,35
Henry Booth House,Head Start,Chicago,IL,16
Metropolitan Family Services,Counseling and Case Management Services,Chicago,IL,30
Metropolitan Family Services,Early Head Start,Chicago,IL,9
Y M C A of Metropolitan Chicago,Early Head Start,Chicago,IL,28
Chicago Youth Centers,Early Head Start – Child Care Partnership,Chicago,IL,4
A Safe Haven Foundation,Interim Housing,Chicago,IL,24
Carole Robertson Center for Learning,Early Head Start – Child Care Partnership,Chicago,IL,20
The Salvation Army,Head Start,Chicago,IL,28
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,7
"Ada S. McKinley Community Services, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,4
El Valor Corporation,Head Start,Chicago,IL,11
El Valor Corporation,Head Start,Chicago,IL,10
Board of Education City of Chicago,Head Start,Chicago,IL,27
North Avenue Day Nursery,Early Head Start,Chicago,IL,1
Onward Neighborhood House,Head Start,Chicago,IL,30
Board of Education City of Chicago,Head Start,Chicago,IL,4
Mary Crane League,Head Start,Chicago,IL,23
St. Leonard's Ministries,Interim Housing,Chicago,IL,27
Featherfist,Basic Street Outreach,Chicago,IL,7
Illinois Action for Children,Head Start Support Services,Chicago,IL,46
Thresholds,Shelter Plus Care,Chicago,IL,47
Chicago House & Social Services Agency,Shelter Plus Care,Chicago,IL,43
Interfaith House,Interim Housing,Chicago,IL,27
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,27
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,4
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,8
North Avenue Day Nursery,Early Head Start – Child Care Partnership,Chicago,IL,26
Board of Education City of Chicago,Head Start,Chicago,IL,17
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,10
Universal Family Connection,Counseling and Case Management Services,Chicago,IL,34
Center for Economic Progress,Tax Preparation Assistance,Chicago,IL,3
Board Trustees Community College,Head Start,Chicago,IL,18
Gads Hill Center,Early Head Start,Chicago,IL,28
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,26
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,13
Austin Child Care Providers Network,Employment Preparation and Placement Program,Chicago,IL,29
Board of Education City of Chicago,Head Start,Chicago,IL,13
Olive Branch Mission,Permanent Supportive Housing,Chicago,IL,16
Deborah's Place,Permanent Supportive Housing,Chicago,IL,2
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,8
Gads Hill Center,Head Start,Chicago,IL,18
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,17
Indo-American Center,Congregate Dining,Chicago,IL,50
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,8
Chicago Youth Centers,Head Start,Chicago,IL,7
Christopher House,Head Start,Chicago,IL,36
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – RTL,Chicago,IL,9
Shining Star Youth & Community Services dba Shining Star Early Learning Academy,Head Start,Chicago,IL,10
Henry Booth House,Early Head Start – Child Care Partnership,Chicago,IL,6
"Albany Park Community Center, Incorporated",Head Start,Chicago,IL,48
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,7
Korean American Community Services,Counseling and Case Management Services,Chicago,IL,47
Chicago Commons Association,Head Start,Chicago,IL,26
El Valor Corporation,Head Start,Chicago,IL,13
Board of Education City of Chicago,Head Start,Chicago,IL,29
Heartland Housing,Shelter Plus Care,Chicago,IL,42
"Ada S. McKinley Community Services, Inc.",Early Head Start – RTL,Chicago,IL,34
South Shore United Methodist Child Care Center,Child Care Only,Chicago,IL,7
Carole Robertson Center for Learning,Child Care Only,Chicago,IL,12
Franciscan Outreach Assoc,Emergency Shelter,Chicago,IL,28
Polish American Association,Community Hospitality Center (Drop-In Centers),Chicago,IL,45
El Valor Corporation,Head Start,Chicago,IL,34
Mary Crane League,Head Start,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,22
The Salvation Army,Early Head Start,Chicago,IL,28
Y M C A of Metropolitan Chicago,Early Head Start – Child Care Partnership,Chicago,IL,17
City-Wide Tax Assistance Program dba Ladder Up,Tax Preparation Assistance,Chicago,IL,4
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,47
Cornerstone Community Outreach,Interim Housing,Chicago,IL,46
La Casa Norte,Homeless Youth Engagement: Youth Drop-In Centers,Chicago,IL,26
Teen Living Programs,Youth Drop-In Center,Chicago,IL,20
Board of Education City of Chicago,Head Start,Chicago,IL,34
El Hogar del Nino,Child Care Only,Chicago,IL,15
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,17
El Hogar del Nino,Head Start,Chicago,IL,14
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,12
LAF,Public Benefits Outreach and Enrollment,Chicago,IL,46
Northwestern University Settlement Association,Child Care Only,Chicago,IL,2
Henry Booth House,Head Start,Chicago,IL,29
Board of Education City of Chicago,Head Start,Chicago,IL,27
Thresholds,Shelter Plus Care,Chicago,IL,47
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,21
"SGA Youth & Family Services, NFP",Early Head Start Support Services,Chicago,IL,3
Between Friends,Counseling and Case Management Services,Chicago,IL,49
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,17
Carole Robertson Center for Learning,Early Head Start,Chicago,IL,24
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,34
Gads Hill Center,Head Start,Chicago,IL,18
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,26
Board of Education City of Chicago,Head Start,Chicago,IL,27
You Can Make It,Interim Housing,Chicago,IL,20
Chicago Mezuzah and Mitzvah,Intensive Case Advocacy and Support For At-Risk Seniors,Chicago,IL,50
Board of Education City of Chicago,Head Start,Chicago,IL,15
Y M C A of Metropolitan Chicago,Child Care Only,Chicago,IL,26
Community Assistance Programs,Industry-Specific Training and Placement Program,Chicago,IL,9
Chicago Youth Centers,Head Start,Chicago,IL,17
New Life Family Services,Interim Housing,Chicago,IL,1
Greater Chicago Food Depository,Emergency Food Assistance for At-Risk Population,Chicago,IL,17
Gads Hill Center,Head Start,Chicago,IL,18
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,28
Centers for New Horizons,Early Head Start – Child Care Partnership,Chicago,IL,9
Chicago Youth Centers,Head Start,Chicago,IL,9
Henry Booth House,Head Start,Chicago,IL,37
Board of Education City of Chicago,Head Start,Chicago,IL,28
"Easter Seals Metropolitan Chicago, Inc.",Early Head Start – Child Care Partnership,Chicago,IL,28
Board of Education City of Chicago,Head Start,Chicago,IL,19
Chicago Commons Association,Head Start,Chicago,IL,27
"Ada S. McKinley Community Services, Inc.",Head Start,Chicago,IL,34
Carole Robertson Center for Learning,Head Start,Chicago,IL,17
