WARD,FS AGENCIES,SB FUNDS,MICRO LOANS,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1,27,2282628.2,11,10.0,221.0,449.0,191.0,1.0,1.0,345.0,15.0,73.0,350.0,,9.0,,4.0,4.0,2.0,6.0,152.0,36.0,,1.0,23.0,,160.0,1.0,1.0,16.0,,144.0,17.0,4.0,1138.0,48.0
2,14,1765936.75,9,,185.0,337.0,190.0,,,209.0,24.0,92.0,427.0,,,1.0,7.0,5.0,1.0,7.0,161.0,21.0,,1.0,3.0,,145.0,,,14.0,,145.0,23.0,4.0,1214.0,45.0
3,49,1857107.45,7,27.0,598.0,1287.0,166.0,2.0,2.0,714.0,30.0,114.0,604.0,,14.0,,35.0,2.0,5.0,3.0,354.0,149.0,,1.0,55.0,2.0,426.0,10.0,1.0,62.0,,218.0,21.0,5.0,1107.0,239.0
4,37,2094602.78,11,6.0,519.0,1027.0,177.0,1.0,2.0,564.0,27.0,140.0,468.0,,8.0,,18.0,5.0,3.0,,279.0,91.0,,,44.0,,338.0,,,69.0,,233.0,24.0,7.0,1272.0,146.0
5,19,50000.0,7,8.0,504.0,1089.0,278.0,,1.0,680.0,29.0,80.0,388.0,,20.0,1.0,11.0,,4.0,,251.0,82.0,,2.0,43.0,,349.0,,,25.0,,209.0,11.0,12.0,973.0,216.0
6,41,629500.34,10,27.0,856.0,1957.0,333.0,5.0,3.0,1140.0,42.0,127.0,440.0,,41.0,,46.0,1.0,5.0,4.0,474.0,313.0,,,101.0,,519.0,17.0,,43.0,,323.0,19.0,7.0,1115.0,623.0
7,16,464270.77,7,12.0,725.0,1596.0,298.0,5.0,5.0,919.0,34.0,106.0,385.0,,36.0,,35.0,4.0,5.0,1.0,264.0,128.0,,2.0,74.0,,441.0,,,22.0,,244.0,11.0,4.0,895.0,244.0
8,35,2855044.71,9,18.0,691.0,1580.0,402.0,5.0,2.0,947.0,32.0,134.0,478.0,,47.0,,41.0,2.0,6.0,1.0,341.0,180.0,,2.0,81.0,,475.0,2.0,1.0,27.0,,280.0,37.0,6.0,1036.0,347.0
9,36,602450.69,9,27.0,708.0,1405.0,311.0,5.0,1.0,950.0,28.0,125.0,442.0,1.0,37.0,,34.0,2.0,5.0,1.0,299.0,119.0,,1.0,68.0,,533.0,14.0,,17.0,,216.0,24.0,8.0,875.0,402.0
10,24,1805333.74,2,13.0,345.0,736.0,114.0,3.0,1.0,489.0,16.0,74.0,221.0,,13.0,,15.0,6.0,2.0,,169.0,59.0,,1.0,70.0,,236.0,,,16.0,,64.0,14.0,2.0,518.0,176.0
11,11,4470731.88,2,8.0,238.0,408.0,98.0,1.0,,347.0,13.0,56.0,337.0,,8.0,,2.0,9.0,2.0,5.0,114.0,44.0,,,15.0,,164.0,1.0,,8.0,,101.0,13.0,4.0,660.0,86.0
12,22,479512.0,5,13.0,238.0,587.0,88.0,4.0,,329.0,19.0,33.0,168.0,,13.0,,7.0,8.0,,3.0,97.0,75.0,,,48.0,,175.0,,,19.0,,89.0,32.0,2.0,410.0,160.0
13,15,1202029.34,3,2.0,144.0,298.0,88.0,10.0,,299.0,9.0,26.0,274.0,,1.0,,,3.0,1.0,,64.0,23.0,,3.0,30.0,,143.0,,,10.0,,59.0,12.0,3.0,320.0,58.0
14,17,534409.25,1,16.0,209.0,455.0,109.0,3.0,,296.0,14.0,35.0,203.0,,14.0,,7.0,5.0,,1.0,100.0,39.0,,1.0,34.0,,187.0,3.0,,18.0,,87.0,12.0,1.0,475.0,101.0
15,32,1382315.68,2,22.0,322.0,778.0,77.0,5.0,1.0,493.0,16.0,30.0,138.0,,15.0,,10.0,4.0,3.0,1.0,128.0,88.0,,1.0,42.0,,211.0,1.0,,20.0,,109.0,24.0,3.0,411.0,233.0
16,35,225245.0,3,24.0,696.0,1577.0,273.0,6.0,2.0,858.0,44.0,94.0,287.0,2.0,47.0,,27.0,6.0,2.0,2.0,265.0,252.0,,1.0,72.0,,391.0,29.0,,64.0,,296.0,24.0,7.0,799.0,479.0
17,50,634357.99,3,13.0,730.0,1691.0,286.0,4.0,1.0,902.0,36.0,154.0,382.0,1.0,29.0,1.0,32.0,5.0,6.0,2.0,325.0,251.0,,5.0,59.0,,452.0,1.0,1.0,42.0,,230.0,30.0,4.0,1038.0,476.0
18,24,527229.91,7,8.0,287.0,549.0,151.0,,,366.0,16.0,58.0,316.0,,6.0,,2.0,1.0,4.0,,156.0,33.0,,,43.0,,202.0,,,23.0,,92.0,10.0,1.0,593.0,119.0
19,9,2387730.17,5,1.0,133.0,233.0,82.0,3.0,2.0,195.0,6.0,64.0,478.0,,3.0,,3.0,1.0,4.0,3.0,77.0,27.0,,4.0,44.0,,151.0,1.0,,4.0,,44.0,10.0,2.0,354.0,18.0
20,48,1385505.59,5,21.0,682.0,1742.0,228.0,4.0,3.0,854.0,41.0,100.0,368.0,,29.0,,19.0,4.0,2.0,2.0,299.0,179.0,,2.0,84.0,,465.0,,,52.0,,247.0,31.0,8.0,904.0,387.0
21,17,,7,21.0,642.0,1389.0,258.0,2.0,4.0,1000.0,35.0,136.0,504.0,,31.0,,28.0,1.0,4.0,1.0,296.0,153.0,,,67.0,,396.0,2.0,,22.0,,214.0,28.0,10.0,1135.0,336.0
22,29,1370752.09,2,11.0,248.0,594.0,104.0,8.0,2.0,311.0,17.0,38.0,168.0,,18.0,,11.0,,2.0,2.0,148.0,74.0,,1.0,45.0,,179.0,8.0,1.0,24.0,,99.0,16.0,1.0,378.0,186.0
23,11,1385106.12,2,10.0,205.0,356.0,71.0,5.0,,250.0,7.0,44.0,292.0,,4.0,,1.0,6.0,1.0,3.0,85.0,55.0,,2.0,32.0,,164.0,,,17.0,,62.0,10.0,2.0,384.0,67.0
24,55,3109599.51,1,30.0,752.0,2128.0,184.0,8.0,2.0,957.0,44.0,155.0,400.0,5.0,52.0,,34.0,2.0,3.0,1.0,430.0,950.0,,2.0,65.0,,489.0,72.0,,78.0,,486.0,24.0,6.0,938.0,550.0
25,62,2447561.32,16,13.0,333.0,631.0,137.0,5.0,1.0,439.0,21.0,98.0,322.0,1.0,18.0,,7.0,5.0,1.0,8.0,221.0,75.0,,,17.0,1.0,185.0,1.0,,29.0,,149.0,17.0,8.0,959.0,117.0
26,42,4120866.6,6,10.0,296.0,672.0,172.0,,,433.0,17.0,47.0,223.0,,11.0,,7.0,3.0,3.0,2.0,161.0,113.0,,1.0,30.0,,181.0,,,15.0,,136.0,16.0,3.0,696.0,123.0
27,69,12065783.35,8,16.0,653.0,1560.0,313.0,2.0,3.0,957.0,36.0,199.0,572.0,6.0,47.0,1.0,34.0,1.0,1.0,10.0,506.0,843.0,,,56.0,,410.0,5.0,,55.0,,332.0,41.0,7.0,2134.0,255.0
28,66,4137503.92,5,38.0,861.0,2336.0,257.0,11.0,2.0,1102.0,61.0,191.0,407.0,7.0,63.0,,48.0,4.0,5.0,2.0,513.0,1364.0,,2.0,60.0,,529.0,94.0,1.0,104.0,1.0,622.0,31.0,6.0,1385.0,556.0
